Key,English,French,Spanish
Start,Start,Début,Comienzo
RollDice,Roll the Dice,Lancer les dés,Tirar los dados
Rolled,Rolled,Roulé,Arrollado
Click,Click to Continue,Cliquez pour continuer,Haz click para continuar
Winner,Winner,Gagnant,Ganador
GoodLuck,Good Luck,Bonne chance,Buena suerte
SelfEsteem,Self Esteem,Amour propre,Autoestima
LookingGood,Looking Good,Vous cherchez bien,Luciendo bien
Skill,Skill,Compétence,Habilidad
Danger,Danger,Danger,Peligro
BrakeTrouble,Brake Trouble,Problème de frein,Problemas de frenos
Praise,Praise,Louange,Alabanza
Wish,Make a Wish,Faire un vœu,Pide un deseo
Friends,Friends & Good Times,Amis et bons moments,Amigos y buenos tiempos
BlownTire,Blown Tire,Pneu soufflé,Blown Tire
Power,Power,Puissance,Poder
HappyDay,Happy Day,Bonne journée,Día feliz
RollAgain,Roll Again,Recommencez,Lanza otra vez
EngineTrouble,Engine Trouble,Un problème de moteur,Problemas de motor
Hope,Hope,Espérer,Esperanza
Success,Success,Succès,Éxito
BigSmile,Big Smile,Grand sourire,Gran sonrisa
Confidence,Confidence,Confiance,Confianza
GoodJudgment,Good Judgment,Bon jugement,Buen juicio
TakeRest,Take a Rest,Repose toi un peu,Descansar
Respect,Respect,Le respect,El respeto
Accident,Accident on Road,Accident sur route,Accidente en carretera
AccidentDesc,Talk about an 'accident' or when you were delayed or had to wait for something and then tell about what it feels like when you feel good about yourself.,Parlez d'un 'accident' ou lorsque vous avez été retardé ou avez dû attendre quelque chose et ensuite dire ce que vous ressentez lorsque vous vous sentez bien dans votre peau.,Hable de un 'accidente' o cuando se haya retrasado o haya tenido que esperar por algo y luego cuéntele cómo se siente cuando se siente bien consigo mismo.
GoBackGarage,Go Back to Garage,Retournez au garage,Regresar al garaje
GoBack5,Go Back 5 squares,Retour 5 carrés,Retrocede 5 cuadrados
Congratulations,Congratulations,Toutes nos félicitations,Felicitaciones
BigDreams,Big Dreams,Gros rêves,Sueños grandes
Detour,Detour,Deviation,Desvío
DetourDesc,Talk about a 'detour' you have had to take and then congratulate yourself or someone else.,Parlez d'un 'détour' que vous avez dû prendre et félicitez-vous ou quelqu'un d'autre.,Habla sobre un 'desvío' que has tenido que tomar y luego felicítate a ti mismo o a alguien más.
GoBack2,Go Back 2 squares,Retour 2 carrés,Retrocede 2 cuadrados
Pride,Pride,Fierté,Orgullo
Satisfaction,Satisfaction,la satisfaction,Satisfacción
Compliments,Compliments,Compliments,Felicitaciones
Admiration,Admiration,Admiration,Admiración
FeelingSpecial,Feeling Special,Se sentir special,Sentirse especial
FeelingGood,Feeling Good,Se sentir bien,Sentirse bien
MakeWish,Make a Wish,Faire un vœu,Pide un deseo
Courage,Courage,Courage,Valor
Goals,Goals,Buts,Metas
GoalsDesc,Talk about a goal you have and then tell about something you feel special about.,Parlez d'un objectif que vous avez et parlez ensuite de quelque chose qui vous semble spécial.,Habla sobre un objetivo que tienes y luego cuéntale algo sobre lo que te sientas especial.
GoBack4,Go Back 4 roll again,Revenez 4 rouler à nouveau,Volver 4 vuelven a rodar
Finish,Finish,terminer,Terminar
Garage,Bud's Garage,Bud's Garage,Garaje de Bud
GotoGarage,Go to Bud's Garage,Aller à Bud's Garage,Ir al Garaje de Bud
GarageDesc,Talk about some problem you or somebody else had.,Parlez de certains problèmes que vous ou quelqu'un d'autre avez eu.,Habla sobre algún problema que tú u otra persona tuviste.
PitStop,Barb & Ernie's Pit Stop,Barb et Ernie's Pit Stop,Barb & Ernie's Pit Stop
GotoPitStop,Go to Barb & Ernie's,Allez à Barb et Ernie,Ve a Barb & Ernie's
PitStopDesc,Talk about a time when you couldn't quite get what you wanted.,Parlez d'une époque où vous ne pouviez pas vraiment obtenir ce que vous vouliez.,Habla de un momento en el que no podías obtener lo que querías.
Snack,Irma's Snack & Rest,Irma's Snack & Rest,Snack & Rest de Irma
GotoSnack,Go to Irma's Place,Aller à la place de Irma,Ir a la casa de Irma
Shortcut,Short Cut,Coupe courte,Atajo
StdSpaceDesc,Talk about or tell a story or 'enact' or demonstrate the concept:,Parler ou raconter une histoire ou 'adopter' ou démontrer le concept:,Hablar o contar una historia o 'representar' o demostrar el concepto:
